,ARG,AUS,AUT,BEL,BGR,CAN,CHE,CHL,CHN,COL,CRI,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JPN,KOR,LTU,LUX,LVA,MEX,MLT,NLD,NOR,NZL,PER,POL,PRT,ROU,RUS,SAU,SVK,SVN,SWE,TUR,ZAF
KOR,1,2,2,1,2,4,3,3,0,2,2,1,2,2,2,2,1,2,1,4,2,2,1,0,2,2,1,2,2,4,2,1,2,3,3,1,1,3,1,1,1,1,1,1,3,2,2,2,1
LTU,1,2,3,2,3,2,3,1,1,1,0,2,2,4,3,3,3,2,3,2,3,3,0,0,4,2,0,3,1,2,4,2,3,1,2,2,2,1,1,2,2,2,1,0,2,3,2,1,0
LUX,1,1,3,3,3,1,1,0,0,0,1,3,3,2,3,3,3,3,3,1,3,3,1,1,2,3,1,3,2,1,2,4,3,1,2,3,4,2,1,3,4,3,2,1,2,3,3,2,0
LVA,2,1,4,3,4,2,2,1,0,1,0,3,2,3,4,4,2,2,2,2,4,4,1,1,3,2,1,4,2,2,3,3,4,1,3,3,3,1,2,3,3,3,2,1,3,4,2,2,0
MEX,0,3,1,2,1,3,2,2,1,1,2,2,2,1,1,1,1,2,1,3,1,1,2,1,1,2,2,1,3,3,1,1,1,4,2,2,1,3,0,2,1,2,2,2,2,1,2,3,2
MLT,2,2,3,2,3,3,3,2,0,1,1,2,1,2,3,3,1,1,1,3,3,3,2,1,2,1,2,3,3,3,2,2,3,2,4,2,2,2,2,2,2,2,2,2,4,3,1,3,0
NLD,1,2,3,4,3,1,1,0,1,0,0,4,2,2,3,3,2,2,2,1,3,3,2,2,2,2,2,3,3,1,2,3,3,2,2,4,3,1,1,4,3,4,3,2,2,3,2,3,1
NOR,1,1,3,3,3,1,1,0,0,0,1,3,3,2,3,3,3,3,3,1,3,3,1,1,2,3,1,3,2,1,2,4,3,1,2,3,4,2,1,3,4,3,2,1,2,3,3,2,0
NZL,0,2,1,1,1,3,2,2,0,1,3,1,3,1,1,1,2,3,2,3,1,1,1,0,1,3,1,1,2,3,1,2,1,3,2,1,2,4,0,1,2,1,1,1,2,1,3,2,1
PER,3,0,2,1,2,1,1,1,2,2,0,1,0,1,2,2,0,0,0,1,2,2,1,2,1,0,2,2,1,1,1,1,2,0,2,1,1,0,4,1,1,1,2,2,2,2,0,1,1
POL,1,2,3,4,3,1,1,0,1,0,0,4,2,2,3,3,2,2,2,1,3,3,2,2,2,2,2,3,3,1,2,3,3,2,2,4,3,1,1,4,3,4,3,2,2,3,2,3,1
PRT,1,1,3,3,3,1,1,0,0,0,1,3,3,2,3,3,3,3,3,1,3,3,1,1,2,3,1,3,2,1,2,4,3,1,2,3,4,2,1,3,4,3,2,1,2,3,3,2,0
ROU,1,2,3,4,3,1,1,0,1,0,0,4,2,2,3,3,2,2,2,1,3,3,2,2,2,2,2,3,3,1,2,3,3,2,2,4,3,1,1,4,3,4,3,2,2,3,2,3,1
RUS,2,2,2,3,2,1,1,0,2,1,0,3,1,1,2,2,1,1,1,1,2,2,2,3,1,1,2,2,3,1,1,2,2,2,2,3,2,1,2,3,2,3,4,2,2,2,1,3,2
SAU,1,2,1,2,1,1,1,1,2,0,1,2,0,0,1,1,0,0,0,1,1,1,3,2,0,0,4,1,3,1,0,1,1,2,2,2,1,1,2,2,1,2,2,4,2,1,0,3,1
SVK,2,2,3,2,3,3,3,2,0,1,1,2,1,2,3,3,1,1,1,3,3,3,2,1,2,1,2,3,3,3,2,2,3,2,4,2,2,2,2,2,2,2,2,2,4,3,1,3,0
SVN,2,1,4,3,4,2,2,1,0,1,0,3,2,3,4,4,2,2,2,2,4,4,1,1,3,2,1,4,2,2,3,3,4,1,3,3,3,1,2,3,3,3,2,1,3,4,2,2,0
SWE,0,1,2,2,2,2,1,1,0,1,2,2,4,2,2,2,3,4,3,2,2,2,0,0,2,4,0,2,1,2,2,3,2,2,1,2,3,3,0,2,3,2,1,0,1,2,4,1,1
TUR,1,3,2,3,2,2,2,1,1,0,1,3,1,1,2,2,1,1,1,2,2,2,3,2,1,1,3,2,4,2,1,2,2,3,3,3,2,2,1,3,2,3,3,3,3,2,1,4,1
ZAF,2,1,0,1,0,1,0,2,2,3,2,1,1,0,0,0,0,1,0,1,0,0,2,3,0,1,1,0,1,1,0,0,0,2,0,1,0,1,1,1,0,1,2,1,0,0,1,1,4
