,ARG,AUS,AUT,BEL,BGR,CAN,CHE,CHL,CHN,COL,CRI,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JPN,KOR,LTU,LUX,LVA,MEX,MLT,NLD,NOR,NZL,PER,POL,PRT,ROU,RUS,SAU,SVK,SVN,SWE,TUR,ZAF
DNK,0,1,3,2,0,3,1,1,1,0,0,1,2,4,3,0,4,4,2,1,0,2,0,1,3,0,0,1,3,1,0,1,1,0,0,1,3,2,0,4,4,0,0,0,3,4,2,0,0
ESP,1,2,4,3,0,2,2,1,2,1,1,2,3,3,4,1,3,3,1,2,0,3,0,1,2,1,1,2,2,2,1,1,2,1,0,2,2,1,0,3,3,0,0,0,4,3,1,0,1
EST,1,2,1,2,2,1,3,2,3,2,1,3,2,0,1,4,0,0,2,3,0,1,1,1,1,3,3,3,1,3,3,2,3,3,0,3,1,1,0,0,0,0,0,0,1,0,2,1,3
FIN,0,1,3,2,0,3,1,1,1,0,0,1,2,4,3,0,4,4,2,1,0,2,0,1,3,0,0,1,3,1,0,1,1,0,0,1,3,2,0,4,4,0,0,0,3,4,2,0,0
FRA,0,1,3,2,0,3,1,1,1,0,0,1,2,4,3,0,4,4,2,1,0,2,0,1,3,0,0,1,3,1,0,1,1,0,0,1,3,2,0,4,4,0,0,0,3,4,2,0,0
GBR,0,0,1,2,1,3,1,1,1,0,0,1,2,2,1,2,2,2,4,1,0,1,0,0,1,1,1,1,3,1,1,1,1,1,0,1,3,1,0,2,2,0,0,0,1,2,4,0,1
GRC,1,3,2,3,2,0,4,3,4,2,1,4,3,1,2,3,1,1,1,4,0,1,1,2,2,3,3,2,2,4,3,3,4,3,0,4,2,1,0,1,1,0,0,0,2,1,1,1,3
HRV,3,1,0,0,2,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,4,1,3,2,0,1,1,0,0,0,1,1,0,1,4,0,0,1,4,0,0,4,4,4,0,0,0,3,1
HUN,2,1,3,2,1,2,1,0,1,2,2,1,2,2,3,1,2,2,1,1,1,4,1,0,1,2,2,2,1,1,2,0,1,2,1,1,1,2,1,2,2,1,1,1,3,2,1,1,2
IDN,2,2,0,0,3,0,1,2,1,3,2,1,0,0,0,1,0,0,0,1,3,1,4,3,1,2,2,1,0,1,2,2,1,2,3,1,0,2,3,0,0,3,3,3,0,0,0,4,2
IND,1,3,1,1,2,0,2,3,2,2,1,2,1,1,1,1,1,1,0,2,2,0,3,4,2,1,1,1,1,2,1,3,2,1,2,2,1,1,2,1,1,2,2,2,1,1,0,3,1
IRL,0,2,2,1,1,2,2,2,2,1,0,2,1,3,2,1,3,3,1,2,0,1,1,2,4,1,1,2,2,2,1,2,2,1,0,2,2,3,0,3,3,0,0,0,2,3,1,1,1
ISL,2,2,1,2,3,0,3,2,3,3,2,3,2,0,1,3,0,0,1,3,1,2,2,1,1,4,4,2,1,3,4,2,3,4,1,3,1,2,1,0,0,1,1,1,1,0,1,2,4
ISR,2,2,1,2,3,0,3,2,3,3,2,3,2,0,1,3,0,0,1,3,1,2,2,1,1,4,4,2,1,3,4,2,3,4,1,3,1,2,1,0,0,1,1,1,1,0,1,2,4
ITA,1,2,2,1,1,2,2,1,2,2,1,2,1,1,2,3,1,1,1,2,0,2,1,1,2,2,2,4,0,2,2,1,2,2,0,2,0,2,0,1,1,0,0,0,2,1,1,1,2
JPN,0,1,2,3,1,2,2,2,2,0,0,2,3,3,2,1,3,3,3,2,0,1,0,1,2,1,1,0,4,2,1,2,2,1,0,2,4,1,0,3,3,0,0,0,2,3,3,0,1
KOR,1,3,2,3,2,0,4,3,4,2,1,4,3,1,2,3,1,1,1,4,0,1,1,2,2,3,3,2,2,4,3,3,4,3,0,4,2,1,0,1,1,0,0,0,2,1,1,1,3
LTU,2,2,1,2,3,0,3,2,3,3,2,3,2,0,1,3,0,0,1,3,1,2,2,1,1,4,4,2,1,3,4,2,3,4,1,3,1,2,1,0,0,1,1,1,1,0,1,2,4
LUX,0,2,1,2,3,0,3,4,3,1,0,3,2,1,1,2,1,1,1,3,1,0,2,3,2,2,2,1,2,3,2,4,3,2,1,3,2,1,1,1,1,1,1,1,1,1,1,2,2
LVA,1,3,2,3,2,0,4,3,4,2,1,4,3,1,2,3,1,1,1,4,0,1,1,2,2,3,3,2,2,4,3,3,4,3,0,4,2,1,0,1,1,0,0,0,2,1,1,1,3
MEX,2,2,1,2,3,0,3,2,3,3,2,3,2,0,1,3,0,0,1,3,1,2,2,1,1,4,4,2,1,3,4,2,3,4,1,3,1,2,1,0,0,1,1,1,1,0,1,2,4
MLT,3,1,0,0,2,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,4,1,3,2,0,1,1,0,0,0,1,1,0,1,4,0,0,1,4,0,0,4,4,4,0,0,0,3,1
NLD,1,3,2,3,2,0,4,3,4,2,1,4,3,1,2,3,1,1,1,4,0,1,1,2,2,3,3,2,2,4,3,3,4,3,0,4,2,1,0,1,1,0,0,0,2,1,1,1,3
NOR,0,1,2,3,1,2,2,2,2,0,0,2,3,3,2,1,3,3,3,2,0,1,0,1,2,1,1,0,4,2,1,2,2,1,0,2,4,1,0,3,3,0,0,0,2,3,3,0,1
NZL,1,1,1,0,2,2,1,1,1,2,1,1,0,2,1,1,2,2,1,1,1,2,2,1,3,2,2,2,1,1,2,1,1,2,1,1,1,4,1,2,2,1,1,1,1,2,1,2,2
PER,3,1,0,0,2,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,4,1,3,2,0,1,1,0,0,0,1,1,0,1,4,0,0,1,4,0,0,4,4,4,0,0,0,3,1
POL,0,1,3,2,0,3,1,1,1,0,0,1,2,4,3,0,4,4,2,1,0,2,0,1,3,0,0,1,3,1,0,1,1,0,0,1,3,2,0,4,4,0,0,0,3,4,2,0,0
PRT,0,1,3,2,0,3,1,1,1,0,0,1,2,4,3,0,4,4,2,1,0,2,0,1,3,0,0,1,3,1,0,1,1,0,0,1,3,2,0,4,4,0,0,0,3,4,2,0,0
ROU,3,1,0,0,2,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,4,1,3,2,0,1,1,0,0,0,1,1,0,1,4,0,0,1,4,0,0,4,4,4,0,0,0,3,1
RUS,3,1,0,0,2,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,4,1,3,2,0,1,1,0,0,0,1,1,0,1,4,0,0,1,4,0,0,4,4,4,0,0,0,3,1
SAU,3,1,0,0,2,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,4,1,3,2,0,1,1,0,0,0,1,1,0,1,4,0,0,1,4,0,0,4,4,4,0,0,0,3,1
SVK,1,2,4,3,0,2,2,1,2,1,1,2,3,3,4,1,3,3,1,2,0,3,0,1,2,1,1,2,2,2,1,1,2,1,0,2,2,1,0,3,3,0,0,0,4,3,1,0,1
SVN,0,1,3,2,0,3,1,1,1,0,0,1,2,4,3,0,4,4,2,1,0,2,0,1,3,0,0,1,3,1,0,1,1,0,0,1,3,2,0,4,4,0,0,0,3,4,2,0,0
SWE,0,0,1,2,1,3,1,1,1,0,0,1,2,2,1,2,2,2,4,1,0,1,0,0,1,1,1,1,3,1,1,1,1,1,0,1,3,1,0,2,2,0,0,0,1,2,4,0,1
TUR,2,2,0,0,3,0,1,2,1,3,2,1,0,0,0,1,0,0,0,1,3,1,4,3,1,2,2,1,0,1,2,2,1,2,3,1,0,2,3,0,0,3,3,3,0,0,0,4,2
ZAF,2,2,1,2,3,0,3,2,3,3,2,3,2,0,1,3,0,0,1,3,1,2,2,1,1,4,4,2,1,3,4,2,3,4,1,3,1,2,1,0,0,1,1,1,1,0,1,2,4
