,ARG,AUS,AUT,BEL,BGR,CAN,CHE,CHL,CHN,COL,CRI,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JPN,KOR,LTU,LUX,LVA,MEX,MLT,NLD,NOR,NZL,PER,POL,PRT,ROU,RUS,SAU,SVK,SVN,SWE,TUR,ZAF
CRI,4,2,2,1,1,2,2,2,3,2,6,3,0,1,2,4,1,1,0,2,2,2,4,4,1,4,5,1,2,2,4,2,4,3,3,0,1,3,2,2,1,2,2,3,3,3,1,3,3
CZE,2,2,4,3,3,1,3,3,2,1,3,6,1,3,4,3,3,3,2,4,4,4,4,5,3,2,2,3,5,3,4,4,3,2,2,2,4,1,0,5,2,4,3,2,5,3,2,4,3
DEU,1,3,3,4,3,4,4,1,2,2,0,1,6,4,3,1,4,4,5,3,2,3,0,1,4,0,0,4,2,2,0,1,1,3,1,5,3,3,0,2,5,2,2,1,2,1,3,2,0
DNK,0,1,5,6,2,2,4,2,2,1,1,3,4,6,5,1,6,6,5,5,1,5,1,2,6,1,1,6,4,4,2,3,1,3,0,5,3,3,0,4,5,1,2,1,4,3,5,3,1
ESP,1,2,4,5,1,3,5,2,1,1,2,4,3,5,6,2,5,5,4,4,2,4,2,3,5,1,2,5,5,3,3,2,2,2,1,4,2,2,0,3,4,2,1,1,5,4,4,4,1
EST,4,2,2,1,2,2,3,1,2,1,4,3,1,1,2,6,1,1,0,2,3,2,4,3,1,4,3,1,2,1,5,3,6,3,5,0,1,3,2,2,2,3,4,2,3,4,2,2,3
FIN,0,1,5,6,2,2,4,2,2,1,1,3,4,6,5,1,6,6,5,5,1,5,1,2,6,1,1,6,4,4,2,3,1,3,0,5,3,3,0,4,5,1,2,1,4,3,5,3,1
FRA,0,1,5,6,2,2,4,2,2,1,1,3,4,6,5,1,6,6,5,5,1,5,1,2,6,1,1,6,4,4,2,3,1,3,0,5,3,3,0,4,5,1,2,1,4,3,5,3,1
GBR,1,2,4,5,2,3,3,1,3,2,0,2,5,5,4,0,5,5,6,4,1,4,0,1,5,0,0,5,3,3,1,2,0,2,0,6,4,2,0,3,4,1,1,1,3,2,4,2,0
GRC,1,0,6,5,3,1,3,2,3,1,2,4,3,5,4,2,5,5,4,6,2,6,2,3,5,2,1,5,3,3,3,4,2,4,1,4,4,2,0,5,4,2,3,2,5,2,4,2,2
HRV,2,3,2,1,5,2,3,2,1,1,2,4,2,1,2,3,1,1,1,2,6,2,3,4,1,1,1,1,3,1,2,2,3,2,4,1,3,1,1,3,2,6,3,3,3,1,0,3,2
HUN,1,0,6,5,3,1,3,2,3,1,2,4,3,5,4,2,5,5,4,6,2,6,2,3,5,2,1,5,3,3,3,4,2,4,1,4,4,2,0,5,4,2,3,2,5,2,4,2,2
IDN,4,2,2,1,2,1,2,3,1,1,4,4,0,1,2,4,1,1,0,2,3,2,6,5,1,4,3,1,3,2,4,4,4,2,3,0,2,1,2,3,1,3,4,2,3,3,2,4,5
IND,3,2,3,2,3,1,3,4,1,2,4,5,1,2,3,3,2,2,1,3,4,3,5,6,2,3,3,2,4,2,3,3,3,2,2,1,3,1,1,4,2,4,3,3,4,2,1,5,4
IRL,0,1,5,6,2,2,4,2,2,1,1,3,4,6,5,1,6,6,5,5,1,5,1,2,6,1,1,6,4,4,2,3,1,3,0,5,3,3,0,4,5,1,2,1,4,3,5,3,1
ISL,4,0,2,1,1,0,1,3,2,3,4,2,0,1,1,4,1,1,0,2,1,2,4,3,1,6,3,1,1,1,4,3,4,2,3,0,1,2,4,2,1,1,3,4,2,3,2,2,5
ISR,3,2,1,1,0,2,2,3,2,3,5,2,0,1,2,3,1,1,0,1,1,1,3,3,1,3,6,1,2,2,3,1,3,2,2,0,0,3,3,1,1,1,1,2,2,3,1,3,2
ITA,0,1,5,6,2,2,4,2,2,1,1,3,4,6,5,1,6,6,5,5,1,5,1,2,6,1,1,6,4,4,2,3,1,3,0,5,3,3,0,4,5,1,2,1,4,3,5,3,1
JPN,1,3,3,4,2,2,4,3,1,1,2,5,2,4,5,2,4,4,3,3,3,3,3,4,4,1,2,4,6,4,3,3,2,1,1,3,3,2,0,4,3,3,2,1,4,4,3,5,2
KOR,0,3,3,4,2,2,2,2,3,0,2,3,2,4,3,1,4,4,3,3,1,3,2,2,4,1,2,4,4,6,2,4,1,3,0,3,3,4,0,4,3,1,3,0,2,3,4,3,2
LTU,4,1,3,2,1,1,2,1,3,1,4,4,0,2,3,5,2,2,1,3,2,3,4,3,2,4,3,2,3,2,6,4,5,2,4,1,2,2,2,3,1,2,3,2,4,5,3,2,3
LUX,2,1,4,3,3,0,1,2,3,0,2,4,1,3,2,3,3,3,2,4,2,4,4,3,3,3,1,3,3,4,4,6,3,3,2,2,4,2,1,5,2,2,5,1,3,3,4,2,4
LVA,4,2,2,1,2,2,3,1,2,1,4,3,1,1,2,6,1,1,0,2,3,2,4,3,1,4,3,1,2,1,5,3,6,3,5,0,1,3,2,2,2,3,4,2,3,4,2,2,3
MEX,1,2,4,3,3,3,3,1,3,0,3,2,3,3,2,3,3,3,2,4,2,4,2,2,3,2,2,3,1,3,2,3,3,6,2,2,2,4,0,3,4,2,4,1,3,1,3,1,2
MLT,4,2,1,0,3,2,2,0,2,1,3,2,1,0,1,5,0,0,0,1,4,1,3,2,0,3,2,0,1,0,4,2,5,2,6,0,1,2,3,1,1,4,3,3,2,3,1,1,2
NLD,1,2,4,5,2,3,3,1,3,2,0,2,5,5,4,0,5,5,6,4,1,4,0,1,5,0,0,5,3,3,1,2,0,2,0,6,4,2,0,3,4,1,1,1,3,2,4,2,0
NOR,2,2,4,3,4,1,1,2,4,2,1,4,3,3,2,1,3,3,4,4,3,4,2,3,3,1,0,3,3,3,2,4,1,2,1,4,6,1,0,5,2,3,3,2,3,1,2,2,2
NZL,1,3,2,3,2,3,3,1,3,1,3,1,3,3,2,3,3,3,2,2,1,2,1,1,3,2,3,3,2,4,2,2,3,4,2,2,1,6,1,2,4,1,3,1,1,3,3,2,1
PER,3,0,0,0,1,0,0,3,1,4,2,0,0,0,0,2,0,0,0,0,1,0,2,1,0,4,3,0,0,0,2,1,2,0,3,0,0,1,6,0,0,1,1,4,0,2,1,1,3
POL,1,1,5,4,4,0,2,3,3,1,2,5,2,4,3,2,4,4,3,5,3,5,3,4,4,2,1,4,4,4,3,5,2,3,1,3,5,2,0,6,3,3,4,2,4,2,3,3,3
PRT,0,2,4,5,3,3,5,2,1,1,1,2,5,5,4,2,5,5,4,4,2,4,1,2,5,1,1,5,3,3,1,2,2,4,1,4,2,4,0,3,6,2,3,1,3,2,4,3,1
ROU,2,3,2,1,5,2,3,2,1,1,2,4,2,1,2,3,1,1,1,2,6,2,3,4,1,1,1,1,3,1,2,2,3,2,4,1,3,1,1,3,2,6,3,3,3,1,0,3,2
RUS,2,2,3,2,4,1,2,2,2,0,2,3,2,2,1,4,2,2,1,3,3,3,4,3,2,3,1,2,2,3,3,5,4,4,3,1,3,3,1,4,3,3,6,1,2,2,3,2,4
SAU,3,0,2,1,3,0,1,3,2,4,3,2,1,1,1,2,1,1,1,2,3,2,2,3,1,4,2,1,1,0,2,1,2,1,3,1,2,1,4,2,1,3,1,6,2,1,0,2,3
SVK,2,1,5,4,2,2,4,2,2,1,3,5,2,4,5,3,4,4,3,5,3,5,3,4,4,2,2,4,4,2,4,3,3,3,2,3,3,1,0,4,3,3,2,2,6,3,3,3,2
SVN,3,2,2,3,0,2,3,1,2,1,3,3,1,3,4,4,3,3,2,2,1,2,3,2,3,3,3,3,4,3,5,3,4,1,3,2,1,3,2,2,2,1,2,1,3,6,4,3,2
SWE,1,1,4,5,1,2,3,1,2,0,1,2,3,5,4,2,5,5,4,4,0,4,2,1,5,2,1,5,3,4,3,4,2,3,1,4,2,3,1,3,4,0,3,0,3,4,6,2,2
TUR,2,3,2,3,2,2,4,4,0,2,3,4,2,3,4,2,3,3,2,2,3,2,4,5,3,2,3,3,5,3,2,2,2,1,1,2,2,2,1,3,3,3,2,2,3,3,2,6,3
ZAF,3,1,2,1,2,0,1,4,1,2,3,3,0,1,1,3,1,1,0,2,2,2,5,4,1,5,2,1,2,2,3,4,3,2,2,0,2,1,3,3,1,2,4,3,2,2,2,3,6
