Rank,Members,Size,Avg Weight,Variance,New_Node_Count,New_Nodes,Common_Policies
11,"HRV, MLT, ROU, RUS",4,11.33,1.8889,4,"HRV, MLT, ROU, RUS",Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; GHG emissions data and reporting; GHG emissions targets; Industry – non market-based instruments; International climate co-operation; International public finance; Transport – non market-based instruments
12,"BGR, HRV, ROU",3,12.33,1.5556,1,BGR,Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Transport – non market-based instruments
13,"EST, LTU, LVA",3,12.0,0.6667,3,"EST, LTU, LVA",Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Transport – market-based instruments; Transport – non market-based instruments
14,"DNK, ESP, SVN",3,11.0,0.6667,1,SVN,Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Transport – market-based instruments; Transport – non market-based instruments
15,"IDN, IND, TUR",3,11.0,0.6667,3,"IDN, IND, TUR",Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Transport – market-based instruments; Transport – non market-based instruments
16,"AUT, GRC, SVK",3,11.0,2.0,1,GRC,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
17,"CHE, ESP, SVK",3,11.0,2.0,1,CHE,"Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
18,"CHE, GRC, KOR",3,10.33,0.2222,1,KOR,"Buildings – market-based instruments; Buildings – non market-based instruments; Climate governance; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
19,"ISL, LTU, LVA",3,10.33,0.2222,1,ISL,Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; International climate co-operation; International public finance; Transport – market-based instruments; Transport – non market-based instruments
20,"MLT, PER, SAU",3,10.33,0.2222,2,"PER, SAU",Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; GHG emissions data and reporting; GHG emissions targets; Industry – non market-based instruments; International climate co-operation; Transport – non market-based instruments
21,"ARG, MLT, PER",3,10.0,0.0,1,ARG,Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; GHG emissions data and reporting; GHG emissions targets; Industry – non market-based instruments; International climate co-operation; Transport – market-based instruments; Transport – non market-based instruments
22,"CZE, LUX, LVA",3,10.0,0.0,1,LUX,Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Transport – market-based instruments; Transport – non market-based instruments
23,"ISL, ZAF",2,11.0,0.0,1,ZAF,Buildings – market-based instruments; Buildings – non market-based instruments; Climate governance; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; International climate co-operation; International public finance; Transport – market-based instruments; Transport – non market-based instruments
24,"ARG, COL",2,10.0,0.0,1,COL,Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; Transport – market-based instruments; Transport – non market-based instruments
25,"ARG, CRI",2,10.0,0.0,1,CRI,Buildings – market-based instruments; Buildings – non market-based instruments; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Transport – market-based instruments; Transport – non market-based instruments
26,"AUS, CHE",2,10.0,0.0,1,AUS,"Buildings – market-based instruments; Buildings – non market-based instruments; Climate governance; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
27,"GRC, MEX",2,10.0,0.0,1,MEX,"Buildings – market-based instruments; Buildings – non market-based instruments; Climate governance; Electricity – market-based instruments; Electricity – non market-based instruments; Fossil fuel production policies; GHG emissions data and reporting; GHG emissions targets; Industry – market-based instruments; Industry – non market-based instruments; International climate co-operation; International public finance; Public Research, Development and Demonstration; Transport – market-based instruments; Transport – non market-based instruments"
