,ARG,AUS,AUT,BEL,BGR,CAN,CHE,CHL,CHN,COL,CRI,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JPN,KOR,LTU,LUX,LVA,MEX,MLT,NLD,NOR,NZL,PER,POL,PRT,ROU,RUS,SAU,SVK,SVN,SWE,TUR,ZAF
KOR,1,6,4,5,1,5,5,2,2,1,2,2,4,4,5,2,5,4,5,3,0,2,0,0,4,1,1,5,4,6,1,3,2,3,1,4,3,4,0,1,4,0,2,0,1,2,4,3,1
LTU,4,1,2,1,2,2,1,3,4,2,3,4,2,2,1,5,1,2,1,3,3,4,3,3,2,3,2,1,2,1,6,4,5,3,3,2,1,2,1,3,2,3,2,2,5,5,3,2,4
LUX,3,3,4,3,3,2,3,2,4,2,2,4,2,2,3,5,3,2,3,3,2,4,2,2,2,3,1,3,4,3,4,6,5,4,3,2,3,2,1,3,2,2,4,1,3,3,5,3,3
LVA,3,2,3,2,3,3,2,2,5,2,2,5,3,3,2,6,2,3,2,4,2,5,2,2,3,3,1,2,3,2,5,5,6,4,4,3,2,3,1,4,3,2,3,1,4,4,4,3,3
MEX,3,3,3,2,4,3,2,4,4,2,4,4,2,2,2,4,2,2,2,3,3,4,2,3,2,3,2,2,3,3,3,4,4,6,2,2,2,3,1,3,2,3,2,2,3,2,3,4,3
MLT,3,1,2,1,3,2,1,0,3,2,2,3,2,2,1,4,1,2,1,3,2,3,4,2,2,3,1,1,1,1,3,3,4,2,6,2,2,3,3,4,2,2,5,3,2,2,2,1,3
NLD,1,4,4,5,2,5,5,1,4,1,1,4,6,6,5,3,5,6,5,5,1,4,0,1,6,1,2,5,4,4,2,2,3,2,2,6,3,4,0,3,6,1,1,1,3,3,3,4,1
NOR,1,3,5,4,3,2,4,0,3,0,1,3,3,3,4,2,4,3,4,4,2,3,1,2,3,1,1,4,3,3,1,3,2,2,2,3,6,1,0,3,3,2,3,2,2,0,2,2,1
NZL,2,4,2,3,1,5,3,2,3,2,3,3,4,4,3,3,3,4,3,3,0,3,1,0,4,2,2,3,3,4,2,2,3,3,3,4,1,6,1,2,4,0,2,1,2,3,3,3,2
PER,3,0,0,0,2,0,0,2,0,5,2,0,0,0,0,1,0,0,0,0,2,0,4,2,0,4,3,0,0,0,1,1,1,1,3,0,0,1,6,1,0,2,3,3,0,1,1,1,3
POL,1,1,3,2,5,2,2,1,5,0,1,5,3,3,2,4,2,3,2,4,4,5,2,4,3,1,1,2,3,1,3,3,4,3,4,3,3,2,1,6,3,4,3,3,4,2,2,3,1
PRT,1,4,4,5,2,5,5,1,4,1,1,4,6,6,5,3,5,6,5,5,1,4,0,1,6,1,2,5,4,4,2,2,3,2,2,6,3,4,0,3,6,1,1,1,3,3,3,4,1
ROU,3,0,2,1,5,0,1,3,3,1,3,3,1,1,1,2,1,1,1,2,6,3,4,6,1,2,3,1,2,0,3,2,2,3,2,1,2,0,2,4,1,6,2,5,4,2,1,3,3
RUS,3,2,3,2,3,1,2,0,2,2,2,2,1,1,2,3,2,1,2,2,2,2,4,2,1,3,1,2,2,2,2,4,3,2,5,1,3,2,3,3,1,2,6,3,1,1,3,1,3
SAU,4,0,2,1,4,0,1,2,2,2,4,2,1,1,1,1,1,1,1,2,5,2,5,5,1,3,4,1,1,0,2,1,1,2,3,1,2,1,3,3,1,5,3,6,3,1,0,2,4
SVK,3,1,3,2,3,2,2,3,5,1,3,5,3,3,2,4,2,3,2,4,4,5,2,4,3,2,3,2,3,1,5,3,4,3,2,3,2,2,0,4,3,4,1,3,6,4,2,3,3
SVN,3,2,1,2,1,3,2,3,3,2,2,3,3,3,2,4,2,3,2,2,2,3,2,2,3,2,2,2,3,2,5,3,4,2,2,3,0,3,1,2,3,2,1,1,4,6,4,3,3
SWE,2,4,3,4,2,3,4,2,3,2,1,3,3,3,4,4,4,3,4,2,1,3,1,1,3,2,1,4,5,4,3,5,4,3,2,3,2,3,1,2,3,1,3,0,2,4,6,4,2
TUR,2,3,3,4,4,3,4,3,4,2,2,4,4,4,4,3,4,4,4,3,3,4,1,3,4,2,3,4,5,3,2,3,3,4,1,4,2,3,1,3,4,3,1,2,3,3,4,6,2
ZAF,6,1,2,1,2,1,1,3,2,4,5,2,1,1,1,3,1,1,1,2,3,2,5,3,1,5,4,1,1,1,4,3,3,3,3,1,1,2,3,1,1,3,3,4,3,3,2,2,6
